Year,State,Species,,Total catch PSE (proportional standard error),Total effort by number of directed trips,Total effort PSE,CPUE (which is catch/effort)
1987,Maine,ATLANTIC MACKEREL,717104,47,"242,455",23.3,2.9577
2007,Maine,ATLANTIC MACKEREL,1747458,23.1,"412,759",23.3,4.2336
2008,Maine,ATLANTIC MACKEREL,2776049,26.8,"507,221",23.3,5.4731
2002,Massachusetts,ATLANTIC MACKEREL,2136477,47.6,"114,031",23.3,18.7359
1993,Delaware,BLUEFISH,204000,35.5,201327,23.3,1.0133
2010,New Jersey,ATLANTIC MACKEREL,63,193,41,23.2,1.5366
2002,Maine,BLUEFISH,74331,34.3,144267,23.2,0.5152
2012,Maine,BLUEFISH,81820,52.1,157959,23.2,0.518
2020,New Jersey,BLUEFISH,2007676,468,1535928,23.2,1.3071
2019,Massachusetts,Black Sea Bass,390410,22.1,"79,578",23.2,4.906
2000,Delaware,BLACK SEA BASS,758157,23,"63,880",23.2,11.8685
1990,NORTH CAROLINA,FLORIDA POMPANO,1684605,31.2,638983,23.2,2.6364
2017,Maryland,ATLANTIC MACKEREL,391,106.4,49,23.1,7.9796
1995,Delaware,SUMMER FLOUNDER,87609,29.2,74155,23.1,1.1814
1983,South Carolina,SUMMER FLOUNDER,166295,56.4,163069,23.1,1.0198
1987,North Carolina,BLACK SEA BASS,751254,24.3,"77,988",23.1,9.6329
1984,Virginia,BLACK SEA BASS,867498,14.9,"170,901",23.1,5.076
2018,Virginia,BLACK SEA BASS,193389,29.6,"23,544",23.1,8.2139
2007,SOUTH CAROLINA,FLORIDA POMPANO,784060,27.5,385686,23.1,2.0329
2004,Maine,ATLANTIC MACKEREL,2697699,22,"688,030",23,3.9209
2007,Maine,BLUEFISH,105692,47.6,189076,23,0.559
1996,New Jersey,BLACK SEA BASS,6360226,244,"461,448",23,13.7832
2011,Massachusetts,ATLANTIC MACKEREL,3841088,26.7,"314,072",22.9,12.23
2017,New York,BLUEFISH,927046,29.3,640773,22.9,1.4468
2005,Rhode Island,BLUEFISH,614424,20.2,405479,22.9,1.5153
1985,South Carolina,BLUEFISH,748576,32.9,264385,22.9,2.8314
1991,North Carolina,YELLOWFIN TUNA,53003,31.8,38878,22.9,1.3633
2008,North Carolina,YELLOWFIN TUNA,21889,31.8,28918,22.9,0.7569
1981,South Carolina,Black Sea Bass,2275590,36.5,"223,908",22.9,10.1631
1982,South Carolina,Black Sea Bass,720380,39.7,"118,669",22.9,6.0705
1991,Maine,BLUEFISH,313985,40,394506,22.8,0.7959
2022,Massachusetts,BLUEFISH,87045,26.2,142991,22.8,0.6087
2022,New Jersey,BLUEFISH,437296,266,666990,22.8,0.6556
1995,South Carolina,BLUEFISH,581196,35,270959,22.8,2.145
1995,North Carolina,COBIA,9325,27.5,"72,998",22.8,0.1277
1982,North Carolina,SUMMER FLOUNDER,1464978,37.3,497558,22.8,2.9443
2005,North Carolina,SUMMER FLOUNDER,101230,35,64281,22.8,1.5748
2006,Rhode Island,Black Sea Bass,308413,27.5,"107,209",22.8,2.8767
1992,Georgia,Black Sea Bass,145118,29.5,"20,340",22.8,7.1346
1993,Georgia,Black Sea Bass,174316,31.7,"42,597",22.8,4.0922
1994,New Hampshire,ATLANTIC MACKEREL,855005,55.8,"75,923",22.7,11.2615
1988,New Hampshire,BLUEFISH,31648,29.6,78601,22.7,0.4026
2018,Massachusetts,Black Sea Bass,567584,26.6,"82,939",22.7,6.8434
1988,South Carolina,Black Sea Bass,317366,23.8,"55,697",22.7,5.6981
1981,Georgia,Black Sea Bass,127261,36.9,"24,321",22.7,5.2326
2021,Massachusetts,BLUEFISH,215809,18.6,313131,22.6,0.6892
1999,New York,BLUEFISH,456602,27.9,244094,22.6,1.8706
1998,South Carolina,BLUEFISH,881271,41.3,306449,22.6,2.8758
2009,Delaware,SUMMER FLOUNDER,209701,32.5,130325,22.6,1.6091
2018,Rhode Island,SUMMER FLOUNDER,719275,21.6,266455,22.6,2.6994
1990,New York,Black Sea Bass,436091,37.1,"84,869",22.6,5.1384
1995,South Carolina,Black Sea Bass,574726,28.7,"79,680",22.6,7.2129
2016,Massachusetts,BLUEFISH,735980,36.9,509231,22.5,1.4453
1986,North Carolina,BLUEFISH,4165104,22.6,1673446,22.5,2.4889
1988,Massachusetts,SUMMER FLOUNDER,83615,30.3,100054,22.5,0.8357
1997,Virginia,SUMMER FLOUNDER,487761,25.3,184966,22.5,2.637
1986,North Carolina,YELLOWFIN TUNA,79904,38,81802,22.5,0.9768
2016,Maryland,BLACK SEA BASS,440144,28.8,"54,937",22.5,8.0118
2001,Virginia,BLACK SEA BASS,313780,26.3,"35,027",22.5,8.9582
2007,Delaware,BLUEFISH,985522,31.5,274763,22.4,3.5868
2020,South Carolina,BLUEFISH,1969655,54.6,359467,22.4,5.4794
2011,Rhode Island,Black Sea Bass,494555,29,"201,625",22.4,2.4528
2019,Rhode Island,Black Sea Bass,3015539,17.1,"562,414",22.4,5.3618
1990,North Carolina,BLACK SEA BASS,543560,26.8,"146,112",22.4,3.7202
1987,New Hampshire,BLUEFISH,92656,32.2,51427,22.3,1.8017
2009,North Carolina,SUMMER FLOUNDER,69048,22.1,85894,22.3,0.8039
2013,Connecticut,Black Sea Bass,608551,32.3,"88,690",22.3,6.8616
1997,New Jersey,BLACK SEA BASS,8634878,196,"657,131",22.3,13.1403
2003,Massachusetts,ATLANTIC MACKEREL,1365241,41,"82,499",22.2,16.5486
1985,Delaware,BLUEFISH,113732,33.8,214572,22.2,0.53
2011,South Carolina,BLUEFISH,3551610,35,981202,22.2,3.6197
2022,North Carolina,COBIA,31882,29.4,"124,847",22.2,0.2554
1999,Massachusetts,WINTER FLOUNDER,142287,30.6,"65,243",22.2,2.1809
1982,Rhode Island,WINTER FLOUNDER,538542,42.7,"127,526",22.2,4.223
1989,North Carolina,YELLOWFIN TUNA,81368,34.4,64830,22.2,1.2551
1994,New York,YELLOWFIN TUNA,430866,24,226097,22.2,1.9057
2012,New York,Black Sea Bass,2169016,27.9,"296,278",22.2,7.3209
1988,Massachusetts,ATLANTIC MACKEREL,2910685,33.1,"171,251",22.1,16.9966
2010,New Hampshire,BLUEFISH,5794,39.3,35280,22.1,0.1642
2001,North Carolina,COBIA,13421,34.3,"64,691",22.1,0.2075
2009,North Carolina,COBIA,55960,27.4,"129,247",22.1,0.433
2020,Rhode Island,SUMMER FLOUNDER,855717,19.4,300855,22.1,2.8443
1999,Delaware,BLACK SEA BASS,259483,36.1,"38,473",22.1,6.7445
2005,Maine,ATLANTIC MACKEREL,1161241,41.1,"524,688",22,2.2132
1997,Massachusetts,ATLANTIC MACKEREL,1446562,30.1,"100,979",22,14.3254
1983,Massachusetts,SUMMER FLOUNDER,489384,29.7,239231,22,2.0457
1993,New Hampshire,BLUEFISH,39631,49.6,40990,21.9,0.9668
2019,New York,BLUEFISH,845835,21.1,594016,21.9,1.4239
2011,Rhode Island,BLUEFISH,370071,52.5,191243,21.9,1.9351
1984,North Carolina,BLACK SEA BASS,938614,32.9,"129,613",21.9,7.2417
2009,North Carolina,BLACK SEA BASS,1061459,19.1,"263,133",21.9,4.0339
1991,Maryland,ATLANTIC MACKEREL,162348,62.3,8233,21.8,19.7192
2015,New York,BLUEFISH,984053,33,728316,21.8,1.3511
2015,North Carolina,BLUEFISH,8224659,15.9,728316,21.8,11.2927
2002,North Carolina,COBIA,16639,35.1,"85,820",21.8,0.1939
2008,Georgia,Black Sea Bass,1616931,33.3,"163,477",21.8,9.8909
2017,Delaware,BLUEFISH,201591,34.3,93634,21.7,2.153
1993,Maine,BLUEFISH,34867,52,235344,21.7,0.1482
2005,Delaware,SUMMER FLOUNDER,188808,25.1,96423,21.7,1.9581
2006,Massachusetts,SUMMER FLOUNDER,547312,26.3,204524,21.7,2.676
1987,North Carolina,SUMMER FLOUNDER,659436,34.4,406868,21.7,1.6208
1990,New Jersey,WINTER FLOUNDER,331853,31,213716,21.7,1.5528
2017,Rhode Island,WINTER FLOUNDER,138,62.4,169,21.7,0.8166
2013,Maryland,BLACK SEA BASS,183140,20.4,"19,192",21.7,9.5425
2022,Maine,ATLANTIC MACKEREL,962466,19.5,"304,502",21.6,3.1608
2020,Delaware,BLUEFISH,84199,32.1,129251,21.6,0.6514
1988,Maryland,BLUEFISH,573867,33.7,324330,21.6,1.7694
1996,New York,BLUEFISH,273976,25.6,152867,21.6,1.7923
2016,Rhode Island,BLUEFISH,303104,30.3,184076,21.6,1.6466
1999,Rhode Island,Black Sea Bass,173325,31.2,"54,110",21.6,3.2032
1992,NORTH CAROLINA,FLORIDA POMPANO,406892,37.1,190707,21.6,2.1336
2015,Massachusetts,ATLANTIC MACKEREL,7076677,25.3,"422,704",21.5,16.7414
2018,Delaware,BLUEFISH,235276,35.8,168314,21.5,1.3978
1992,North Carolina,COBIA,11684,33.1,"48,163",21.5,0.2426
2013,North Carolina,COBIA,65298,32.6,"190,356",21.5,0.343
1999,New York,SUMMER FLOUNDER,2103045,27,394388,21.5,5.3324
2020,Maine,ATLANTIC MACKEREL,2832033,22.5,"508,816",21.4,5.5659
2004,New Jersey,BLUEFISH,5663195,174,2009435,21.4,2.8183
2008,North Carolina,SUMMER FLOUNDER,54757,25.4,63358,21.4,0.8642
1987,New Jersey,BLACK SEA BASS,654226,426,"199,991",21.4,3.2713
2002,NORTH CAROLINA,FLORIDA POMPANO,1092266,32.6,300633,21.4,3.6332
1986,Virginia,ATLANTIC MACKEREL,583501,35.8,27852,21.3,20.9501
2019,Delaware,BLUEFISH,223632,32.5,120391,21.3,1.8575
1981,Massachusetts,BLUEFISH,2127563,31.3,829360,21.3,2.5653
2017,Massachusetts,Black Sea Bass,1055992,31.2,"145,587",21.3,7.2533
2009,Maine,ATLANTIC MACKEREL,3112810,27.8,"536,786",21.2,5.799
2014,South Carolina,COBIA,40390,23.6,"39,674",21.2,1.018
1988,Delaware,SUMMER FLOUNDER,217250,25.8,116001,21.2,1.8728
1986,New York,WINTER FLOUNDER,560834,27.3,"149,387",21.2,3.7542
1995,Delaware,ATLANTIC MACKEREL,28368,86.8,3092,21.1,9.1746
2016,Maine,ATLANTIC MACKEREL,5042277,42.3,"709,018",21.1,7.1116
2007,New Hampshire,ATLANTIC MACKEREL,214768,28,"26,465",21.1,8.1152
1987,Connecticut,BLUEFISH,155882,60.3,11913,21,13.085
2007,Massachusetts,BLUEFISH,630239,20.4,742461,21,0.8489
2022,Rhode Island,BLUEFISH,110292,21.8,110924,21,0.9943
1999,North Carolina,COBIA,19911,60.7,"40,030",21,0.4974
1996,Delaware,SUMMER FLOUNDER,174067,25.7,88693,21,1.9626
2003,North Carolina,SUMMER FLOUNDER,99766,27.7,63511,21,1.5708
2020,North Carolina,YELLOWFIN TUNA,116339,26.9,70031,21,1.6613
2021,Delaware,BLUEFISH,119437,39.6,98286,20.9,1.2152
2008,New York,BLUEFISH,4008726,25.6,1494763,20.9,2.6818
1989,New York,SUMMER FLOUNDER,204749,19,220523,20.9,0.9285
1987,Massachusetts,WINTER FLOUNDER,2484290,26.7,"1,134,868",20.9,2.1891
2018,Delaware,BLACK SEA BASS,372960,34.8,"43,826",20.9,8.51
2020,Virginia,BLACK SEA BASS,513344,23.5,"41,408",20.9,12.3972
1995,Maine,ATLANTIC MACKEREL,1080840,37.5,"285,281",20.8,3.7887
2018,Massachusetts,BLUEFISH,250683,30,175977,20.8,1.4245
2019,Connecticut,SUMMER FLOUNDER,228839,24.9,69387,20.8,3.298
1999,Massachusetts,SUMMER FLOUNDER,92731,27.1,95926,20.8,0.9667
1988,Rhode Island,WINTER FLOUNDER,297889,43,"176,019",20.8,1.6924
1986,New York,Black Sea Bass,512302,38.4,"79,537",20.8,6.4411
2010,New Jersey,BLACK SEA BASS,11999225,454,"1,097,084",20.8,10.9374
2018,New Hampshire,ATLANTIC MACKEREL,1462393,23.2,"146,982",20.7,9.9495
1982,Delaware,BLUEFISH,358049,28.3,202286,20.7,1.77
2012,Delaware,BLUEFISH,311467,43,143156,20.7,2.1757
2012,New Jersey,BLUEFISH,4677522,265,1579068,20.7,2.9622
1995,Massachusetts,SUMMER FLOUNDER,66247,29.6,59348,20.7,1.1162
2001,Massachusetts,SUMMER FLOUNDER,179067,23,129787,20.7,1.3797
2011,Rhode Island,SUMMER FLOUNDER,1707647,30.4,487429,20.7,3.5034
2015,New Hampshire,ATLANTIC MACKEREL,784542,25.9,"128,562",20.6,6.1024
1985,Maryland,BLUEFISH,203927,28.5,62613,20.6,3.2569
1984,Rhode Island,BLUEFISH,2627892,36.3,332882,20.6,7.8944
1997,Massachusetts,WINTER FLOUNDER,113568,30.5,"79,625",20.6,1.4263
1989,New York,YELLOWFIN TUNA,171531,31.8,68990,20.6,2.4863
2002,Maine,ATLANTIC MACKEREL,2877433,32.3,"499,945",20.5,5.7555
2018,Maine,ATLANTIC MACKEREL,2239095,25.4,"560,605",20.5,3.9941
1987,Maryland,BLUEFISH,407672,41.5,164020,20.5,2.4855
1991,Delaware,BLACK SEA BASS,317917,36.4,"20,150",20.5,15.7775
2022,Delaware,BLACK SEA BASS,459989,25.6,"45,370",20.5,10.1386
1998,Maine,ATLANTIC MACKEREL,1018678,22.6,"273,443",20.4,3.7254
1993,Massachusetts,ATLANTIC MACKEREL,1200309,27.9,"176,008",20.4,6.8196
2014,Massachusetts,ATLANTIC MACKEREL,2868411,28.2,"341,305",20.4,8.4042
2021,New Jersey,BLUEFISH,1569941,179,1665847,20.4,0.9424
1983,Rhode Island,WINTER FLOUNDER,617432,26.8,"307,803",20.4,2.0059
1998,South Carolina,Black Sea Bass,271176,21.5,"83,477",20.4,3.2485
2018,Rhode Island,BLUEFISH,130779,28.6,87884,20.3,1.4881
2017,North Carolina,COBIA,146869,42.3,"268,233",20.3,0.5475
1998,Delaware,SUMMER FLOUNDER,223686,21.7,120337,20.3,1.8588
1997,South Carolina,Black Sea Bass,594091,23.4,"120,080",20.3,4.9475
1987,Delaware,BLACK SEA BASS,105092,41.2,"50,964",20.3,2.0621
1997,New York,BLUEFISH,308640,43.9,271558,20.2,1.1366
1988,Virginia,BLUEFISH,272849,28.4,230774,20.2,1.1823
1981,New Jersey,SUMMER FLOUNDER,2339090,27.2,681823,20.2,3.4306
2006,Rhode Island,SUMMER FLOUNDER,2049301,20.1,414074,20.2,4.9491
1997,Maine,ATLANTIC MACKEREL,2614019,24.8,"428,458",20.1,6.101
1986,Rhode Island,BLUEFISH,1770497,25.6,490352,20.1,3.6107
2012,North Carolina,YELLOWFIN TUNA,79263,24.8,52846,20.1,1.4999
2016,North Carolina,YELLOWFIN TUNA,109100,25.5,120076,20.1,0.9086
2014,Delaware,BLACK SEA BASS,260065,28.1,"43,127",20.1,6.0302
2000,Massachusetts,SUMMER FLOUNDER,487052,34.2,150238,20,3.2419
1992,Rhode Island,SUMMER FLOUNDER,173148,18.7,100121,20,1.7294
1988,New York,WINTER FLOUNDER,1504132,35.8,"484,941",20,3.1017
1994,South Carolina,Black Sea Bass,333759,34.4,"66,745",20,5.0005
2003,Maine,ATLANTIC MACKEREL,2350265,28.6,"515,325",19.9,4.5607
2001,Virginia,BLUEFISH,536447,26.8,211090,19.9,2.5413
2014,New York,SUMMER FLOUNDER,3918269,21.6,1431945,19.9,2.7363
2011,North Carolina,SUMMER FLOUNDER,66288,19.7,61307,19.9,1.0812
1995,Virginia,SUMMER FLOUNDER,1094826,35.8,378919,19.9,2.8893
2013,Massachusetts,Black Sea Bass,772699,25,"121,500",19.9,6.3597
2020,Connecticut,Black Sea Bass,656149,21.4,"115,003",19.9,5.7055
2011,New Jersey,BLACK SEA BASS,2550830,242,"498,737",19.9,5.1146
2012,Massachusetts,BLUEFISH,1384720,23.3,956316,19.8,1.448
2010,South Carolina,BLUEFISH,2001769,35.3,522111,19.8,3.834
2003,New Jersey,WINTER FLOUNDER,164733,327,208211,19.8,0.7912
1981,Massachusetts,WINTER FLOUNDER,5108177,26.4,"854,441",19.8,5.9784
1993,New York,WINTER FLOUNDER,217812,36.9,"88,033",19.8,2.4742
2015,Rhode Island,Black Sea Bass,1247423,22.7,"214,565",19.8,5.8137
2002,New York,Black Sea Bass,1592380,25.2,"288,985",19.8,5.5103
1989,Virginia,BLACK SEA BASS,534846,31.3,"61,627",19.8,8.6788
2000,NORTH CAROLINA,FLORIDA POMPANO,1476864,19.7,411659,19.8,3.5876
1989,Delaware,ATLANTIC MACKEREL,199576,97.6,5938,19.7,33.61
2018,New Jersey,BLUEFISH,1763498,193,958983,19.7,1.8389
2005,North Carolina,COBIA,31250,38.8,"107,364",19.7,0.2911
2019,Delaware,SUMMER FLOUNDER,181520,28.9,77494,19.7,2.3424
2020,Delaware,SUMMER FLOUNDER,353212,20.3,108383,19.7,3.2589
1982,New York,SUMMER FLOUNDER,507737,29.7,119810,19.7,4.2379
1990,North Carolina,YELLOWFIN TUNA,15237,36,14489,19.7,1.0516
2004,Rhode Island,Black Sea Bass,56074,19.2,"44,835",19.7,1.2507
1984,South Carolina,Black Sea Bass,818319,32.7,"153,574",19.7,5.3285
2018,South Carolina,Black Sea Bass,1022038,19.4,"211,712",19.7,4.8275
2018,North Carolina,BLACK SEA BASS,1337351,26.2,"180,676",19.7,7.4019
1990,Maryland,BLUEFISH,309236,35.9,117297,19.6,2.6364
2019,New Jersey,SUMMER FLOUNDER,5084121,16.4,1482683,19.6,3.429
2007,South Carolina,Black Sea Bass,1163735,23.6,"177,188",19.6,6.5678
2012,South Carolina,Black Sea Bass,911352,22.4,"136,297",19.6,6.6865
1987,Virginia,BLACK SEA BASS,701974,35.1,"48,281",19.6,14.5393
1999,Virginia,BLACK SEA BASS,1513521,38.1,"84,814",19.6,17.8452
2022,South Carolina,BLUEFISH,2470437,32.2,437097,19.5,5.6519
2003,Massachusetts,SUMMER FLOUNDER,168095,30,90579,19.5,1.8558
1992,Rhode Island,Black Sea Bass,27425,21.4,"19,215",19.5,1.4273
2010,Rhode Island,Black Sea Bass,685927,30.3,"149,154",19.5,4.5988
1982,Massachusetts,BLUEFISH,666135,26.4,810574,19.4,0.8218
2018,North Carolina,COBIA,77544,22.1,"227,442",19.4,0.3409
1989,Virginia,SUMMER FLOUNDER,173806,25.9,91420,19.4,1.9012
2013,Rhode Island,Black Sea Bass,1311844,21.7,"226,147",19.4,5.8008
1984,New York,BLUEFISH,2084545,30.6,629882,19.3,3.3094
1994,New York,BLUEFISH,542436,19.4,629882,19.3,0.8612
2005,New York,BLUEFISH,5095654,23.8,1990460,19.3,2.56
1986,Virginia,BLUEFISH,1083092,19.3,283811,19.3,3.8162
1996,Virginia,BLACK SEA BASS,841140,25.8,"62,482",19.3,13.4621
2021,Virginia,BLACK SEA BASS,1427453,34.4,"74,766",19.3,19.0923
2005,NORTH CAROLINA,FLORIDA POMPANO,1099822,23.3,482730,19.3,2.2783
1999,Massachusetts,ATLANTIC MACKEREL,2202228,43,"100,279",19.2,21.961
1988,Maine,BLUEFISH,69878,38.6,216091,19.2,0.3234
1993,Massachusetts,SUMMER FLOUNDER,165466,50.8,87722,19.2,1.8863
2010,Rhode Island,SUMMER FLOUNDER,621176,26.5,194398,19.2,3.1954
1987,New York,WINTER FLOUNDER,959030,34.3,"287,045",19.2,3.341
2012,Rhode Island,Black Sea Bass,1581597,20.1,"270,476",19.2,5.8475
2004,New York,BLUEFISH,3128694,23.9,1510711,19.1,2.071
2017,North Carolina,BLUEFISH,10401296,26.2,3118972,19.1,3.3348
2006,North Carolina,COBIA,12784,27.4,"157,809",19.1,0.081
2018,Delaware,SUMMER FLOUNDER,125445,18.9,65258,19.1,1.9223
1997,Massachusetts,SUMMER FLOUNDER,439080,48.4,126058,19.1,3.4832
2021,New York,SUMMER FLOUNDER,1643640,21.6,471996,19.1,3.4823
1999,Virginia,SUMMER FLOUNDER,744246,23.6,340027,19.1,2.1888
2021,North Carolina,YELLOWFIN TUNA,52667,20.6,48775,19.1,1.0798
1991,Delaware,BLUEFISH,164586,28.5,122805,19,1.3402
2007,New York,BLUEFISH,1729358,21.4,1094335,19,1.5803
2007,North Carolina,BLUEFISH,9057943,11.5,1094335,19,8.2771
1997,North Carolina,COBIA,12832,39.5,"54,612",19,0.235
1995,Delaware,BLUEFISH,492916,34.6,321933,18.9,1.5311
2005,South Carolina,BLUEFISH,1332504,27.1,401337,18.9,3.3202
1989,Virginia,BLUEFISH,597401,31.4,134928,18.9,4.4276
2022,Delaware,SUMMER FLOUNDER,132224,24.6,83873,18.9,1.5765
1994,Massachusetts,SUMMER FLOUNDER,94568,26.2,113120,18.9,0.836
2013,New York,SUMMER FLOUNDER,3258623,20.5,1023842,18.9,3.1827
1984,Massachusetts,WINTER FLOUNDER,2254031,35.6,"675,141",18.9,3.3386
1991,Massachusetts,WINTER FLOUNDER,175299,22.5,"220,727",18.9,0.7942
2007,New York,Black Sea Bass,1787971,37,"343,052",18.9,5.212
1997,Delaware,ATLANTIC MACKEREL,47812,101.2,843,18.8,56.7165
2016,New Hampshire,ATLANTIC MACKEREL,2139416,25.7,"158,579",18.8,13.4912
1988,Delaware,BLUEFISH,114103,25,112815,18.8,1.0114
2015,New Jersey,BLUEFISH,2867899,396,1396324,18.8,2.0539
2008,South Carolina,BLUEFISH,626752,23.7,343836,18.8,1.8228
2015,New Jersey,SUMMER FLOUNDER,5009112,16,1748284,18.8,2.8652
1986,North Carolina,SUMMER FLOUNDER,1005862,15,679499,18.8,1.4803
2014,Rhode Island,SUMMER FLOUNDER,1037914,32.8,321198,18.8,3.2314
1991,New York,WINTER FLOUNDER,473996,39.5,"217,481",18.8,2.1795
1992,New York,Black Sea Bass,125661,25.1,"26,770",18.8,4.6941
2013,Delaware,BLACK SEA BASS,296216,26.1,"44,512",18.8,6.6547
1995,New Jersey,BLACK SEA BASS,2599632,225,"281,169",18.8,9.2458
1997,Delaware,SUMMER FLOUNDER,99749,25.2,62630,18.7,1.5927
1987,New York,SUMMER FLOUNDER,1962852,27.8,359979,18.7,5.4527
1984,New Hampshire,WINTER FLOUNDER,198084,22.7,"52,291",18.7,3.7881
1989,New York,WINTER FLOUNDER,468004,22.3,"318,555",18.7,1.4691
2015,South Carolina,Black Sea Bass,1335004,19.4,"167,340",18.7,7.9778
2019,South Carolina,Black Sea Bass,2094916,16.1,"416,229",18.7,5.0331
1998,GEORGIA,FLORIDA POMPANO,73152,19,41728,18.7,1.7531
2019,Maine,ATLANTIC MACKEREL,1975396,28.8,"299,464",18.6,6.5964
1995,New Hampshire,ATLANTIC MACKEREL,148111,31.4,"14,784",18.6,10.0183
2005,New York,SUMMER FLOUNDER,7237404,22,1797201,18.6,4.027
2009,New York,SUMMER FLOUNDER,2639321,22.4,666283,18.6,3.9613
1983,North Carolina,SUMMER FLOUNDER,1812419,23.7,1179902,18.6,1.5361
2022,North Carolina,YELLOWFIN TUNA,45197,24.7,32829,18.6,1.3767
2002,Virginia,BLACK SEA BASS,360484,28.7,"38,819",18.6,9.2863
2017,Maine,ATLANTIC MACKEREL,1780092,22.1,"360,123",18.5,4.943
1986,Maryland,BLUEFISH,644481,26.5,237643,18.5,2.712
1985,New Jersey,BLUEFISH,4246852,203,1707246,18.5,2.4875
1983,North Carolina,BLUEFISH,8884258,32.6,3224165,18.5,2.7555
2014,North Carolina,COBIA,43913,28.6,"214,569",18.5,0.2047
1982,New Jersey,SUMMER FLOUNDER,1265771,24.2,770663,18.5,1.6424
2004,North Carolina,SUMMER FLOUNDER,235629,28.6,222249,18.5,1.0602
2020,Massachusetts,Black Sea Bass,342777,17.6,"67,225",18.5,5.099
1992,Virginia,BLACK SEA BASS,917213,32.7,"50,212",18.5,18.2668
2015,NORTH CAROLINA,FLORIDA POMPANO,1568156,25.5,743925,18.5,2.1079
1984,Delaware,ATLANTIC MACKEREL,424935,75.9,7392,18.4,57.4858
2000,Maine,ATLANTIC MACKEREL,5750046,18.2,"580,091",18.4,9.9123
1994,Maine,BLUEFISH,169057,38.7,167169,18.4,1.0113
2002,Massachusetts,SUMMER FLOUNDER,328630,26.2,152170,18.4,2.1596
1981,North Carolina,SUMMER FLOUNDER,2558726,41.2,631009,18.4,4.055
1996,Virginia,SUMMER FLOUNDER,1039451,25.5,280149,18.4,3.7104
1994,Massachusetts,WINTER FLOUNDER,324263,21.2,"266,082",18.4,1.2187
2011,New York,Black Sea Bass,1751327,25.6,"228,113",18.4,7.6775
1992,North Carolina,BLACK SEA BASS,870850,19.5,"137,523",18.4,6.3324
1982,New York,BLUEFISH,2666016,38.8,443359,18.3,6.0132
2012,New York,BLUEFISH,1843247,19.9,976150,18.3,1.8883
1988,Rhode Island,YELLOWFIN TUNA,3442,63.4,19580,18.3,0.1758
2016,Delaware,BLACK SEA BASS,390578,23.6,"76,609",18.3,5.0983
1998,New Jersey,BLACK SEA BASS,1711105,207,"403,837",18.3,4.2371
1985,Massachusetts,BLUEFISH,1109592,35.2,1424379,18.2,0.779
2009,Massachusetts,BLUEFISH,836383,29.7,1082622,18.2,0.7726
2006,New Hampshire,BLUEFISH,44486,27.9,35722,18.2,1.2453
1983,Rhode Island,BLUEFISH,2420555,40.7,592550,18.2,4.085
2021,Rhode Island,BLUEFISH,475079,19.1,234784,18.2,2.0235
1983,Massachusetts,Black Sea Bass,193665,26.4,"114,470",18.2,1.6918
2019,NORTH CAROLINA,FLORIDA POMPANO,3383209,31,662009,18.2,5.1105
2021,NORTH CAROLINA,FLORIDA POMPANO,1476175,22.7,628160,18.2,2.35
2014,Maine,ATLANTIC MACKEREL,2362452,18.1,"534,329",18.1,4.4213
1997,Rhode Island,Black Sea Bass,68967,28.7,"26,356",18.1,2.6167
2021,South Carolina,Black Sea Bass,1488321,22.1,"231,551",18.1,6.4276
1985,Massachusetts,ATLANTIC MACKEREL,867994,41.9,"394,318",18,2.2013
1984,Rhode Island,ATLANTIC MACKEREL,497970,28.5,"139,712",18,3.5643
1987,Massachusetts,BLUEFISH,1766583,22.9,9223275,18,0.1915
2013,New Jersey,BLUEFISH,4094598,372,1458409,18,2.8076
2020,Rhode Island,BLUEFISH,252909,24,132749,18,1.9052
2013,Rhode Island,SUMMER FLOUNDER,607288,25.1,236598,18,2.5668
2020,New Jersey,BLACK SEA BASS,5271820,157,"937,458",18,5.6235
2014,Massachusetts,BLUEFISH,2241879,41.6,929472,17.9,2.412
1999,New Hampshire,BLUEFISH,17796,28.1,24378,17.9,0.73
2009,New York,BLUEFISH,1772196,18.1,893418,17.9,1.9836
2009,North Carolina,BLUEFISH,8021754,13,898418,17.9,8.9288
2014,New Hampshire,ATLANTIC MACKEREL,1376765,29.9,"123,484",17.8,11.1493
2007,North Carolina,COBIA,15234,30.4,"111,587",17.8,0.1365
2020,New Jersey,SUMMER FLOUNDER,9393045,15.4,3252516,17.8,2.8879
2020,New York,SUMMER FLOUNDER,1701892,18.6,685514,17.8,2.4827
1995,Massachusetts,WINTER FLOUNDER,153467,30.6,"65,065",17.8,2.3587
1989,Rhode Island,WINTER FLOUNDER,236173,29.2,"140,250",17.8,1.6839
2013,New Jersey,BLACK SEA BASS,4929471,259,"909,315",17.8,5.4211
2001,NORTH CAROLINA,FLORIDA POMPANO,1258027,36.9,336858,17.8,3.7346
2003,NORTH CAROLINA,FLORIDA POMPANO,1705039,26.9,469340,17.8,3.6328
2021,Maine,ATLANTIC MACKEREL,2718475,22.4,"298,858",17.7,9.0962
1989,Maryland,BLUEFISH,831338,25.4,220404,17.7,3.7719
2003,North Carolina,COBIA,16900,28.1,"69,506",17.7,0.2431
2016,North Carolina,COBIA,59047,26.8,"305,897",17.7,0.193
2016,Rhode Island,Black Sea Bass,2517134,19.1,"459,262",17.7,5.4808
2017,NORTH CAROLINA,FLORIDA POMPANO,2343773,37.5,714332,17.7,3.2811
2016,SOUTH CAROLINA,FLORIDA POMPANO,2684702,27.4,368437,17.7,7.2867
